,,"""Auto Import"" Row Upper Limit:",30000,,Date Range Start,4/9/2020,Date Range End,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Store Name,Last Delivery,Products,,Auto Import' Row Upper Limit:,8000,Date Range Start,3/30/2020,Date Range End,4/17/2020,Formula,"IFERROR(TRANSPOSE(UNIQUE( FILTER( 'Auto Import'!$D$1:$D$8000, 'Auto Import'!$A$1:$A$8000 = A9, 'Auto Import'!$B$1:$B$8000 > $E$1, 'Auto Import'!$B$1:$B$8000 < $G$1 ) ) ))",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC Food Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DC Mini Mart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Store (Bladensburg Road),4/16/2020,"Apple, Red Delicious","Potato, Baking Idaho","Spinach, Bag",Strawberries,Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Store (Pennsylvania Avenue),4/1/2020,,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut","Watermelon, Fresh Cut","Trail Mix, Healthy Corners","Apple, Golden Delicious","Apple, Red Delicious",Banana,Lemon,Lime,"Orange, Large","Avocado, Hass",Collard Greens (bunch),"Garlic, Loose","Pepper, Green","Pepper, Jalapeno","Potato, Baking Idaho","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dollar Plus Food Super Market (Howard Road),4/2/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economy Market,4/16/2020,"Pineapple, Fresh Cut","Strawberries, Fresh Cut","Trail Mix, Healthy Corners",Lemon,Lime,"Orange, Large","Avocado, Hass",Ginger,"Onion, Red","Onion, Yellow","Potato, Baking Idaho",Banana,"Garlic, Loose","Mango, Fresh Cut","Grapes, Green seedless, Fresh Cut","Tomato, Slicer","Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Watermelon, Fresh Cut","Apple, Red Delicious",Plum,"Pepper, Green",,"Garlic, peeled (bag)",Mint,"Apple, Golden Delicious","Pepper, Red","Pepper, Jalapeno",Strawberries,"Kiwi, 4 pack",Tangerines & Clementine,"Carrots, Organic",,,,,,,,,,,,,,,,,,,,
Elmira Grocery,4/7/2020,"Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut",Strawberries,"Trail Mix, Healthy Corners","Grapes, Green seedless, Fresh Cut","Mango, Fresh Cut","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exxon Gas Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FlexCare Pharmacy,4/16/2020,,"Apple, Red Delicious","Potato, Baking Idaho",Strawberries,Blueberries,"Spinach, Bag","Carrots, Organic","Tomato, Slicer","Orange, Small (valencia)","Pear, Red",Ginger,"Garlic, Loose","Onion, Red","Onion, Yellow","Onion, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fort Drum Market,4/14/2020,Banana,"Onion, Yellow","Orange, Large","Grapes, Red seedless, Fresh Cut","Fruit, Fresh Cut Mixed",Lemon,Lime,"Garlic, Loose","Collard Greens, Bag",Ginger,"Onion, Red","Potato, Baking Idaho","Onion, Green (scallion)","Corn, Frozen Vegetables","Pepper, Green","Grapes, Mix seedless, Fresh Cut","Garlic, peeled (bag)","Watermelon, Fresh Cut","Strawberries, Fresh Cut","Pineapple, Whole","Grapes, Green seedless, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G & G Grocery,4/16/2020,"Apple, Red Delicious","Potato, Baking Idaho",Strawberries,Blueberries,"Spinach, Bag","Carrots, Organic","Tomato, Slicer","Orange, Small (valencia)","Pear, Red",Ginger,"Garlic, Loose","Onion, Red","Onion, Yellow","Onion, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Food Markets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grubb's Southeast Pharmacy,4/13/2020,,"Clementines, bag","Apple, Red Delicious","Watermelon, Fresh Cut","Pineapple, Fresh Cut","Pepper, Green","Mushroom, White (clamshell)",Blueberries,"Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Strawberries, Fresh Cut",Lemon,"Pear, Bartlett","Orange, Large","Potato, Baking Idaho","Tomato, grape (organic)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helen Mart,4/16/2020,"Apple, Red Delicious","Orange, Small (valencia)","Onion, Yellow","Onion, Red","Pear, Red","Tomato, Slicer","Garlic, Loose",Ginger,"Carrots, Organic","Spinach, Bag",Blueberries,Strawberries,"Potato, Baking Idaho","Onion, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holiday Market,4/14/2020,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut",Strawberries,"Watermelon, Fresh Cut",Banana,Lemon,"Orange, Large",Tangerines & Clementine,"Avocado, Hass",Ginger,"Mushroom, White (clamshell)","Onion, Yellow","Onion, Red","Pepper, Green","Potato, Baking Idaho","Strawberries, Fresh Cut","Garlic, Loose","tomato, cherry","Tomato, Slicer","Tomato, grape (organic)","Cucumber, Seedless","Lettuce, Artisan","Mushroom, Baby Bella","Pepper, Jalapeno",Lime,,,,,,,,,,,,,,,,,,,,,,,,
Internal Waste - Main Kitchen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal Waste - Nutrition Lab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Mart Inc,4/15/2020,,Banana,"Avocado, Hass","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Strawberries, Fresh Cut","Pineapple, Fresh Cut","Orange, Large","Pepper, Green","Potato, Baking Idaho","Tomato, Slicer",Lemon,Lime,"Onion, Red","Onion, Yellow","Apple, Golden Delicious","Apple, Red Delicious","Garlic, Loose","Watermelon, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwik Stop,4/7/2020,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut",Banana,Lemon,Lime,"Orange, Large","Pear, Bartlett","Avocado, Hass","Garlic, Loose",Ginger,"Tomato, Slicer","Pepper, Jalapeno","Pepper, Green","Onion, Yellow","Onion, Red","Grapes, Mix seedless, Fresh Cut","Trail Mix, Healthy Corners","Apple, Golden Delicious","Apple, Red Delicious","Onion, Green (scallion)","Potato, Baking Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liff's Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 77,4/14/2020,"Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Strawberries, Fresh Cut",Lemon,Lime,"Orange, Large",Banana,"Avocado, Hass","Onion, Red","Potato, Baking Idaho","Tomato, Slicer","Grapes, Red seedless, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McKinley Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mellon Market,4/14/2020,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut",Lime,"Orange, Large","Garlic, Loose",Ginger,"Onion, Yellow","Tomato, grape (organic)",Banana,"Watermelon, Fresh Cut","Apple, Golden Delicious",Lemon,"Mango, Organic","Pepper, Green","Potato, Baking Idaho","Pear, Bartlett","Onion, Red","Grapes, Mix seedless, Fresh Cut","Avocado, Hass","Pepper, Jalapeno",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota Food Mart,4/16/2020,"Apple, Red Delicious","Potato, Baking Idaho",Strawberries,Blueberries,"Spinach, Bag","Carrots, Organic","Tomato, Slicer","Orange, Small (valencia)","Pear, Red",Ginger,"Garlic, Loose","Onion, Red","Onion, Yellow","Onion, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri Avenue Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nams Market,4/10/2020,"Fruit, Fresh Cut Mixed","Strawberries, Fresh Cut",Banana,"Orange, Large","Avocado, Hass","Garlic, Loose","Pepper, Green","Potato, Baking Idaho","Grapes, Mix seedless, Fresh Cut","Pineapple, Fresh Cut","Trail Mix, Healthy Corners","Mango, Organic",Strawberries,"Onion, Red","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neighborhood Market,4/16/2020,Banana,Lemon,"Orange, Large","Apple, Red Delicious","Corn, Yellow","Garlic, Loose","Onion, Red","Tomato, Slicer",Ginger,"Pear, Red","Carrots, Organic","Potato, Baking Idaho","Strawberries, Fresh Cut","Spinach, Fresh Cut (Organic)",Blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton Market,4/14/2020,"Grapes, Red seedless, Fresh Cut","Strawberries, Fresh Cut","Trail Mix, Healthy Corners","Apple, Golden Delicious",Banana,Blueberries,"Carrots, Organic",Lemon,Lime,"Pear, Bartlett","Avocado, Hass","Cucumber, Seedless","Garlic, Loose",Ginger,"Lettuce, Butterhead (clamshell)","Mushroom, White (clamshell)","Onion, Red","Onion, Yellow","Potato, Baking Idaho","tomato, cherry","Tomato, Slicer","Spinach, Fresh Cut (Organic)",,"Clementines, bag","Kiwi, 4 pack","Mango, Organic",Peach,"Pepper, Jalapeno","Celery/Carrot, Dip","Corn, Frozen Vegetables","Orange, Large","Grapes, Green seedless, Fresh Cut","Pineapple, Fresh Cut","Apple, Red Delicious","Pepper, Green","Spring Mix,Organic","Fruit, Fresh Cut Mixed",Strawberries,Broccoli Florets,,,,,,,,,,,,,,
Night N Day 24 Hour Store,4/16/2020,,Banana,"Apple, Golden Delicious","Apple, Red Delicious","Orange, Large","Pepper, Green",Lemon,Lime,"Onion, Yellow","Onion, Red","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Supermarket,4/16/2020,"Apple, Red Delicious","Onion, Yellow","Onion, Red","Strawberries, Fresh Cut",Blueberries,"Potato, Baking Idaho","Spinach, Bunch","Carrots, Organic","Tomato, Slicer","Pear, Red","Garlic, Loose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secrets of Nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipley Super Market,4/16/2020,"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Mango, Fresh Cut","Pineapple, Fresh Cut",Banana,"Apple, Golden Delicious","Apple, Red Delicious","Clementines, bag",Lemon,Lime,"Pear, Bartlett","Pear, Red","Lettuce, Cello","Onion, Yellow","Onion, Red","Pepper, Green","Kale, Mix (Fresh Express)","Strawberries, Fresh Cut","Orange, Large",Peach,Plum,"Garlic, Loose","Tomato, Slicer",Broccoli Florets,Collard Greens (bunch),Kale (bunch),"Potato, Baking Idaho","Mushroom, White (clamshell)","Pepper, Red",Tangerines & Clementine,"Watermelon, Fresh Cut","Spinach, Frozen Vegetables","Arugula, Bowery Farm Special","Baby Kale, Bowery Farm Special",,,,,,,,,,,,,,,,,
Smiley Mart,4/16/2020,"Apple, Red Delicious","Onion, Yellow","Onion, Red","Garlic, Loose",Ginger,"Pear, Red","Orange, Small (valencia)","Tomato, Slicer","Carrots, Organic","Spinach, Bag",Blueberries,Strawberries,"Potato, Baking Idaho","Onion, White",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonya's Market,4/14/2020,"Potato, Baking Idaho","Tomato, Slicer","Garlic, Loose","Pepper, Green",Lemon,Lime,"Mango, Organic","Avocado, Hass","Onion, Yellow","Spinach, Frozen Vegetables","Orange, Large","Apple, Golden Delicious",Banana,"Onion, Red","Corn, Frozen Vegetables","Peas, Frozen Vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starlight Food,4/13/2020,"Apple, Red Delicious","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut",Banana,Lemon,Lime,"Orange, Large","Onion, Red","Onion, Yellow","Potato, Baking Idaho","Tomato, Slicer",,"Pepper, Green","Spinach, Fresh Cut (Organic)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Potato, Baking Idaho","Spinach, Bag","Tomato, Slicer","Orange, Small (valencia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T & G Grocery,4/16/2020,"Apple, Red Delicious","Onion, Red","Onion, Yellow","Garlic, Loose",Ginger,"Pear, Red","Orange, Large","Tomato, Slicer","Carrots, Organic","Spinach, Bunch",Blueberries,"Strawberries, Fresh Cut","Potato, Baking Idaho",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Avenue Convenience Store,4/6/2020,"Apple, Golden Delicious","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Banana,"Orange, Large","Avocado, Hass","Lettuce, Butterhead (clamshell)","Onion, Red","Onion, Yellow","Pepper, Green","Tomato, Slicer","Mango, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut","Apple, Red Delicious",Lemon,Lime,Plum,Ginger,"Onion, Green (scallion)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cupboard,4/16/2020,Banana,"Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Orange, Large","Avocado, Hass","Onion, Yellow","Pepper, Jalapeno","Mushroom, Baby Bella","Fruit, Fresh Cut Mixed","Strawberries, Fresh Cut","Apple, Golden Delicious","Carrots, Organic",Cilantro,"Clementines, bag","Lettuce, Artisan","Onion, Red","Potato, Baking Idaho","Tomato, Slicer","Pineapple, Whole",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas & Sons Food Market,4/15/2020,"Tomato, Slicer","Pepper, Green","Onion, Red","Onion, Yellow",Ginger,"Garlic, Loose","Orange, Large",Lime,Lemon,Banana,"Apple, Golden Delicious","Strawberries, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Green seedless, Fresh Cut","Potato, Baking Idaho","Fruit, Fresh Cut Mixed","Grapes, Red seedless, Fresh Cut",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toni's Market,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uptown Market,4/16/2020,"Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,"Mango, Fresh Cut","Pineapple, Fresh Cut","Strawberries, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious",Banana,"Orange, Large","Avocado, Hass","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Pepper, Green","Potato, Baking Idaho","Tomato, Slicer","Pear, Red","Carrots, Organic","Spinach, Fresh Cut (Organic)",Blueberries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wheeler Market,4/7/2020,Blueberries,Banana,"Apple, Red Delicious","Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Trail Mix, Healthy Corners","Orange, Large",Strawberries,"Kiwi, 4 pack","Apple, Golden Delicious","Onion, Green (scallion)","Onion, Red","Onion, Yellow","Pepper, Green","Potato, Baking Idaho",Lime,Lemon,Peach,Plum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang Market,4/16/2020,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Pineapple, Fresh Cut","Watermelon, Fresh Cut","Apple, Golden Delicious","Apple, Red Delicious",Banana,Blueberries,"Carrots, Organic","Clementines, bag","Kiwi, 4 pack",Lemon,"Mango, Organic","Orange, Large","Avocado, Hass","Cucumber, Seedless","Garlic, Loose",Kale (bunch),"Lettuce, Artisan","Onion, Red","Onion, Yellow","Pepper, Green","Pepper, Red","tomato, cherry","Tomato, Slicer","Spinach, Fresh Cut (Organic)","Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Mango, Fresh Cut",Tangerines & Clementine,"Strawberries, Fresh Cut",Ginger,"Mushroom, White (clamshell)","Onion, Green (scallion)","Pepper, Jalapeno","Potato, Baking Idaho","Trail Mix, Healthy Corners",Strawberries,"Tomato, grape (organic)","Lettuce, Butterhead (clamshell)","Lettuce, Cello",Lime,"Mushroom, Baby Bella","Pear, Bartlett","Pineapple, Whole",Plum,"Potato, White",Cilantro,Mint,"Pear, Red",Spring Mix,Celery Stalk,"Baby Kale, Bowery Farm Special"
