,,"""Auto Import"" Row Upper Limit:",30000,,Date Range Start,4/9/2020,Date Range End,4/20/2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newton Market,4/17/2020,"Apple, Golden Delicious","Apple, Red Delicious","Avocado, Hass",Banana,Broccoli Florets,"Butter head lettuce, Bowery Farm Special","Carrots, Organic","Corn, Frozen Vegetables","Fruit, Fresh Cut Mixed","Garlic, Loose",Ginger,"Grapes, Green seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Kiwi, 4 pack",Lemon,"Mango, Fresh Cut","Mushroom, White (clamshell)","Onion, Red","Onion, White","Onion, Yellow","Orange, Large",Peach,"Pear, Bartlett","Pepper, Green","Pepper, Jalapeno","Pineapple, Fresh Cut","Potato, Baking Idaho","Spinach, Frozen Vegetables",Strawberries,"Strawberries, Fresh Cut","Tomato, Slicer","Trail Mix, Healthy Corners",,,,,,,,,,
Night N Day 24 Hour Store,4/16/2020,Banana,Lemon,Lime,"Onion, Red","Onion, Yellow","Orange, Large","Pepper, Green","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northeast Supermarket,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose","Onion, Red","Onion, Yellow","Pear, Red","Potato, Baking Idaho","Spinach, Bunch","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shipley Super Market,4/16/2020,"Apple, Golden Delicious","Apple, Red Delicious","Arugula, Bowery Farm Special","Baby Kale, Bowery Farm Special",Banana,"Clementines, bag",Collard Greens (bunch),"Fruit, Fresh Cut Mixed","Grapes, Green seedless, Fresh Cut","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Kale (bunch),Lemon,"Lettuce, Cello",Lime,"Mushroom, White (clamshell)","Onion, Red","Onion, Yellow","Orange, Large",Peach,"Pear, Bartlett","Pear, Red","Pepper, Green","Pepper, Red","Pineapple, Fresh Cut","Potato, Baking Idaho","Spinach, Frozen Vegetables","Strawberries, Fresh Cut",Tangerines & Clementine,"Tomato, Slicer","Watermelon, Fresh Cut",,,,,,,,,,,
Smiley Mart,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, White","Onion, Yellow","Orange, Small (valencia)","Pear, Red","Potato, Baking Idaho","Spinach, Bag",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonya's Market,4/17/2020,"Apple, Golden Delicious","Avocado, Hass",Banana,"Corn, Frozen Vegetables","Cucumber, Seedless","Garlic, Loose",Lemon,Lime,"Mango, Organic","Onion, Red","Onion, Yellow","Orange, Large","Peas, Frozen Vegetables","Pepper, Green","Pepper, Jalapeno","Potato, Baking Idaho","Spinach, Frozen Vegetables",Strawberries,"Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,
Starlight Food,4/13/2020,Lemon,Lime,"Onion, Red","Onion, Yellow","Spinach, Fresh Cut (Organic)","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunbeam Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Small (valencia)","Potato, Baking Idaho","Spinach, Bag","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T & G Grocery,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Large","Pear, Red","Potato, Baking Idaho","Spinach, Bunch","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texas Avenue Convenience Store,4/17/2020,"Apple, Red Delicious",Banana,"Collard Greens, Chopped","Fruit, Fresh Cut Mixed",Ginger,"Grapes, Mix seedless, Fresh Cut",Lemon,Lime,"Mango, Fresh Cut","Onion, Green (scallion)","Onion, Yellow","Pepper, Green","Potato, Baking Idaho","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,
The Cupboard,4/16/2020,"Apple, Golden Delicious","Avocado, Hass",Banana,"Carrots, Organic",Cilantro,"Clementines, bag","Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Lettuce, Artisan","Onion, Red","Onion, Yellow","Pineapple, Whole","Potato, Baking Idaho","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas & Sons Food Market,4/17/2020,Banana,"Fruit, Fresh Cut Mixed","Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut",Lemon,Lime,"Onion, Yellow","Orange, Large","Pepper, Green","Potato, Baking Idaho","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uptown Market,4/16/2020,"Apple, Red Delicious",Blueberries,"Carrots, Organic","Garlic, Loose",Ginger,"Onion, Red","Onion, Yellow","Orange, Large","Pear, Red","Potato, Baking Idaho","Spinach, Fresh Cut (Organic)","Strawberries, Fresh Cut","Tomato, Slicer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yang Market,4/16/2020,"Apple, Golden Delicious","Apple, Red Delicious","Avocado, Hass","Baby Kale, Bowery Farm Special",Banana,Blueberries,"Carrots, Organic",Celery Stalk,Cilantro,"Clementines, bag","Cucumber, Seedless","Garlic, Loose",Ginger,"Grapes, Mix seedless, Fresh Cut","Grapes, Red seedless, Fresh Cut","Kiwi, 4 pack",Lemon,"Lettuce, Artisan","Lettuce, Butterhead (clamshell)",Lime,"Mango, Organic",Mint,"Mushroom, Baby Bella","Mushroom, White (clamshell)","Onion, Red","Onion, Yellow","Pear, Bartlett","Pear, Red","Pepper, Green","Pepper, Jalapeno","Pineapple, Fresh Cut","Pineapple, Whole",Plum,"Potato, Baking Idaho","Potato, White",Spring Mix,Strawberries,"tomato, cherry","Tomato, grape (organic)","Tomato, Slicer","Trail Mix, Healthy Corners","Watermelon, Fresh Cut"
